source,source_url,fetched_at,page_sha256,model_year,title_prefix,trim_raw,engine_cc,official_price,market_price,effective_date,page_updated_label,row_type
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,"Fri, 25 Sep 2026 13:00:23 GMT",1f25355eb76cafae3d2212dd771d1305120d97a6217102c848ca15df8a5accf1,2027,,REDLINE (N Pack),,"2,125,000","2,160,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,"Fri, 25 Sep 2026 13:00:23 GMT",1f25355eb76cafae3d2212dd771d1305120d97a6217102c848ca15df8a5accf1,2027,,NIGHT,,"2,200,000","2,760,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,"Fri, 25 Sep 2026 13:00:23 GMT",1f25355eb76cafae3d2212dd771d1305120d97a6217102c848ca15df8a5accf1,2027,,BLACK DIAMOND,,"2,300,000","2,360,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/hyundai-tucson/year-2027,"Fri, 25 Sep 2026 13:00:23 GMT",1f25355eb76cafae3d2212dd771d1305120d97a6217102c848ca15df8a5accf1,2027,,NLINE (AWD),,"2,400,000","2,400,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/jetour-t1/year-2027,"Fri, 25 Sep 2026 13:00:25 GMT",55b7c5671bc5818839da5c927f66533fc379323614256a866144b0caa4fa1c15,2027,,Luxury,,"1,730,000","1,760,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/jetour-t1/year-2027,"Fri, 25 Sep 2026 13:00:25 GMT",55b7c5671bc5818839da5c927f66533fc379323614256a866144b0caa4fa1c15,2027,,Matt Colour,,"1,760,000","1,760,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/jetour-t2/year-2027,"Fri, 25 Sep 2026 13:00:27 GMT",7943e859d6f2757e99530e160452f2aee0285b152d75b61b9d4c1f4b4ba9efb9,2027,,Luxury 1.5 L,,"1,900,000","1,960,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/jetour-t2/year-2027,"Fri, 25 Sep 2026 13:00:27 GMT",7943e859d6f2757e99530e160452f2aee0285b152d75b61b9d4c1f4b4ba9efb9,2027,,Matt Colour,,"1,930,000","1,960,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/jetour-t2/year-2027,"Fri, 25 Sep 2026 13:00:27 GMT",7943e859d6f2757e99530e160452f2aee0285b152d75b61b9d4c1f4b4ba9efb9,2027,,i-DM,,"2,150,000","2,320,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kgm-torres/year-2026,"Fri, 25 Sep 2026 13:00:28 GMT",080b11a330339ede1e648c094ff0112244e7453e3d3b5c3e45da437bbc0cfc5c,2026,,Comfort,,"1,585,000","1,600,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kgm-torres/year-2026,"Fri, 25 Sep 2026 13:00:28 GMT",080b11a330339ede1e648c094ff0112244e7453e3d3b5c3e45da437bbc0cfc5c,2026,,Advance,,"1,720,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/kgm-torres/year-2026,"Fri, 25 Sep 2026 13:00:28 GMT",080b11a330339ede1e648c094ff0112244e7453e3d3b5c3e45da437bbc0cfc5c,2026,,Premium,,"1,850,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/kgm-torres/year-2026,"Fri, 25 Sep 2026 13:00:28 GMT",080b11a330339ede1e648c094ff0112244e7453e3d3b5c3e45da437bbc0cfc5c,2026,,Luxury,,"1,980,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/kgm-torres/year-2026,"Fri, 25 Sep 2026 13:00:28 GMT",080b11a330339ede1e648c094ff0112244e7453e3d3b5c3e45da437bbc0cfc5c,2026,,Black Edition,,"1,999,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-seltos/year-2026,"Fri, 25 Sep 2026 13:00:29 GMT",4a8df8bcf15747572ed20444c6d6424d9acd2c1c98d8f760b8b17d6328e33aab,2026,,EX,,"1,350,000","1,360,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-seltos/year-2026,"Fri, 25 Sep 2026 13:00:29 GMT",4a8df8bcf15747572ed20444c6d6424d9acd2c1c98d8f760b8b17d6328e33aab,2026,,Highline Turbo,,"1,500,000",Unavailable,,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-seltos/year-2026,"Fri, 25 Sep 2026 13:00:29 GMT",4a8df8bcf15747572ed20444c6d6424d9acd2c1c98d8f760b8b17d6328e33aab,2026,,Topline Turbo,,"1,625,000","1,625,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,"Fri, 25 Sep 2026 13:00:31 GMT",a72efda30024dad8c0382a60f846a1775e9384263d56193788ff642faa764648,2026,,LX,,"1,800,000","1,820,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,"Fri, 25 Sep 2026 13:00:31 GMT",a72efda30024dad8c0382a60f846a1775e9384263d56193788ff642faa764648,2026,,EX,,"1,900,000","1,900,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,"Fri, 25 Sep 2026 13:00:31 GMT",a72efda30024dad8c0382a60f846a1775e9384263d56193788ff642faa764648,2026,,Highline,,"2,050,000","2,360,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,"Fri, 25 Sep 2026 13:00:31 GMT",a72efda30024dad8c0382a60f846a1775e9384263d56193788ff642faa764648,2026,,Premium,,"2,275,000","2,275,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2026,"Fri, 25 Sep 2026 13:00:31 GMT",a72efda30024dad8c0382a60f846a1775e9384263d56193788ff642faa764648,2026,,GT Line,,"2,375,000","2,375,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,"Fri, 25 Sep 2026 13:00:32 GMT",c44d4b585329cb6b8cf792bf196971a14b312ca48e67d4072507851c64ebb0c6,2027,,LX,,"1,824,900","1,880,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,"Fri, 25 Sep 2026 13:00:32 GMT",c44d4b585329cb6b8cf792bf196971a14b312ca48e67d4072507851c64ebb0c6,2027,,EX,,"1,924,900","1,960,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,"Fri, 25 Sep 2026 13:00:32 GMT",c44d4b585329cb6b8cf792bf196971a14b312ca48e67d4072507851c64ebb0c6,2027,,Highline,,"2,074,900","2,100,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,"Fri, 25 Sep 2026 13:00:32 GMT",c44d4b585329cb6b8cf792bf196971a14b312ca48e67d4072507851c64ebb0c6,2027,,Premium,,"2,299,900","2,300,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/kia-sportage/year-2027,"Fri, 25 Sep 2026 13:00:32 GMT",c44d4b585329cb6b8cf792bf196971a14b312ca48e67d4072507851c64ebb0c6,2027,,GT-line:,,"2,399,900","2,460,000",,,
ContactCars,https://www.contactcars.com/en/new-cars/mg-hs/year-2026,"Fri, 25 Sep 2026 13:00:33 GMT",331a3cd852dbcfc0b864859b13e3b7b5df81afe9804c9a62984808228a98956b,2026,,+ Luxury,,"1,525,000","1,640,000",,,
