model_id,model_year,trim_key,source,price_type,change,prev_snapshot,prev_value,prev_status,latest_snapshot,latest_value,latest_status,delta_egp,series
m_000001,2025,gtline,hatla2ee,official,UNCHANGED,S4_2026-09-25,2274900,OK,S5_2026-09-25,2274900,OK,,S0_2026-09-10=2274900 S1_2026-09-25=2274900 S2_2026-09-25=2274900 S3_2026-09-25=2274900 S4_2026-09-25=2274900 S5_2026-09-25=2274900
m_000001,2025,highline,hatla2ee,official,UNCHANGED,S4_2026-09-25,2024900,OK,S5_2026-09-25,2024900,OK,,S0_2026-09-10=2024900 S1_2026-09-25=2024900 S2_2026-09-25=2024900 S3_2026-09-25=2024900 S4_2026-09-25=2024900 S5_2026-09-25=2024900
m_000001,2025,lx,hatla2ee,official,UNCHANGED,S4_2026-09-25,1799900,OK,S5_2026-09-25,1799900,OK,,S0_2026-09-10=1799900 S1_2026-09-25=1799900 S2_2026-09-25=1799900 S3_2026-09-25=1799900 S4_2026-09-25=1799900 S5_2026-09-25=1799900
m_000001,2025,topline,hatla2ee,official,UNCHANGED,S4_2026-09-25,2149900,OK,S5_2026-09-25,2149900,OK,,S0_2026-09-10=2149900 S1_2026-09-25=2149900 S2_2026-09-25=2149900 S3_2026-09-25=2149900 S4_2026-09-25=2149900 S5_2026-09-25=2149900
m_000001,2027,ex,hatla2ee,official,UNCHANGED,S4_2026-09-25,1925000,OK,S5_2026-09-25,1925000,OK,,S0_2026-09-10=1925000 S1_2026-09-25=1925000 S2_2026-09-25=1925000 S3_2026-09-25=1925000 S4_2026-09-25=1925000 S5_2026-09-25=1925000
m_000001,2027,gtline,hatla2ee,official,UNCHANGED,S4_2026-09-25,2400000,OK,S5_2026-09-25,2400000,OK,,S0_2026-09-10=2400000 S1_2026-09-25=2400000 S2_2026-09-25=2400000 S3_2026-09-25=2400000 S4_2026-09-25=2400000 S5_2026-09-25=2400000
m_000001,2027,highline,hatla2ee,official,UNCHANGED,S4_2026-09-25,2075000,OK,S5_2026-09-25,2075000,OK,,S0_2026-09-10=2075000 S1_2026-09-25=2075000 S2_2026-09-25=2075000 S3_2026-09-25=2075000 S4_2026-09-25=2075000 S5_2026-09-25=2075000
m_000001,2027,lx,hatla2ee,official,UNCHANGED,S4_2026-09-25,1825000,OK,S5_2026-09-25,1825000,OK,,S0_2026-09-10=1825000 S1_2026-09-25=1825000 S2_2026-09-25=1825000 S3_2026-09-25=1825000 S4_2026-09-25=1825000 S5_2026-09-25=1825000
m_000001,2027,premium,hatla2ee,official,UNCHANGED,S4_2026-09-25,2300000,OK,S5_2026-09-25,2300000,OK,,S0_2026-09-10=2300000 S1_2026-09-25=2300000 S2_2026-09-25=2300000 S3_2026-09-25=2300000 S4_2026-09-25=2300000 S5_2026-09-25=2300000
m_000002,2025,othertrims,contactcars,market,UNCHANGED,S4_2026-09-25,2200000,OK,S5_2026-09-25,2200000,OK,,S1_2026-09-25=2200000 S2_2026-09-25=2200000 S3_2026-09-25=2200000 S4_2026-09-25=2200000 S5_2026-09-25=2200000
m_000002,2026,blackdiamond,contactcars,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_AVAILABLE,S5_2026-09-25,,NOT_AVAILABLE,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,2026,blaze,contactcars,market,UNCHANGED,S4_2026-09-25,2060000,OK,S5_2026-09-25,2060000,OK,,S0_2026-09-10=2000000 S1_2026-09-25=2060000 S2_2026-09-25=2060000 S3_2026-09-25=2060000 S4_2026-09-25=2060000 S5_2026-09-25=2060000
m_000002,2026,night,contactcars,market,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_AVAILABLE,S5_2026-09-25,,NOT_AVAILABLE,,S0_2026-09-10=None S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,2026,nlineawd,contactcars,market,UNCHANGED,S4_2026-09-25,2600000,OK,S5_2026-09-25,2600000,OK,,S0_2026-09-10=2600000 S1_2026-09-25=2600000 S2_2026-09-25=2600000 S3_2026-09-25=2600000 S4_2026-09-25=2600000 S5_2026-09-25=2600000
m_000002,2026,othertrims,contactcars,market,UNCHANGED,S4_2026-09-25,1820000,OK,S5_2026-09-25,1820000,OK,,S1_2026-09-25=1820000 S2_2026-09-25=1820000 S3_2026-09-25=1820000 S4_2026-09-25=1820000 S5_2026-09-25=1820000
m_000002,2026,redline,contactcars,market,UNCHANGED,S4_2026-09-25,1950000,OK,S5_2026-09-25,1950000,OK,,S0_2026-09-10=1950000 S1_2026-09-25=1950000 S2_2026-09-25=1950000 S3_2026-09-25=1950000 S4_2026-09-25=1950000 S5_2026-09-25=1950000
m_000002,2026,redlinenpack,contactcars,market,UNCHANGED,S4_2026-09-25,2025000,OK,S5_2026-09-25,2025000,OK,,S0_2026-09-10=2025000 S1_2026-09-25=2025000 S2_2026-09-25=2025000 S3_2026-09-25=2025000 S4_2026-09-25=2025000 S5_2026-09-25=2025000
m_000002,2026,shadow,contactcars,market,UNCHANGED,S4_2026-09-25,1780000,OK,S5_2026-09-25,1780000,OK,,S0_2026-09-10=1760000 S1_2026-09-25=1780000 S2_2026-09-25=1780000 S3_2026-09-25=1780000 S4_2026-09-25=1780000 S5_2026-09-25=1780000
m_000002,2027,blackdiamond,contactcars,market,UNCHANGED,S4_2026-09-25,2360000,OK,S5_2026-09-25,2360000,OK,,S0_2026-09-10=None S1_2026-09-25=2360000 S2_2026-09-25=2360000 S3_2026-09-25=2360000 S4_2026-09-25=2360000 S5_2026-09-25=2360000
m_000002,2027,blaze,contactcars,market,UNCHANGED,S4_2026-09-25,1980000,OK,S5_2026-09-25,1980000,OK,,S0_2026-09-10=2080000 S1_2026-09-25=1980000 S2_2026-09-25=1980000 S3_2026-09-25=1980000 S4_2026-09-25=1980000 S5_2026-09-25=1980000
m_000002,2027,night,contactcars,market,UNCHANGED,S4_2026-09-25,2760000,OK,S5_2026-09-25,2760000,OK,,S0_2026-09-10=2760000 S1_2026-09-25=2760000 S2_2026-09-25=2760000 S3_2026-09-25=2760000 S4_2026-09-25=2760000 S5_2026-09-25=2760000
m_000002,2027,nlineawd,contactcars,market,UNCHANGED,S4_2026-09-25,2400000,OK,S5_2026-09-25,2400000,OK,,S0_2026-09-10=2400000 S1_2026-09-25=2400000 S2_2026-09-25=2400000 S3_2026-09-25=2400000 S4_2026-09-25=2400000 S5_2026-09-25=2400000
m_000002,2027,othertrims,contactcars,market,UNCHANGED,S4_2026-09-25,1960000,OK,S5_2026-09-25,1960000,OK,,S1_2026-09-25=1960000 S2_2026-09-25=1960000 S3_2026-09-25=1960000 S4_2026-09-25=1960000 S5_2026-09-25=1960000
m_000002,2027,redline,contactcars,market,UNCHANGED,S4_2026-09-25,2160000,OK,S5_2026-09-25,2160000,OK,,S0_2026-09-10=2160000 S1_2026-09-25=2160000 S2_2026-09-25=2160000 S3_2026-09-25=2160000 S4_2026-09-25=2160000 S5_2026-09-25=2160000
m_000002,2027,redlinenpack,contactcars,market,UNCHANGED,S4_2026-09-25,2160000,OK,S5_2026-09-25,2160000,OK,,S0_2026-09-10=2160000 S1_2026-09-25=2160000 S2_2026-09-25=2160000 S3_2026-09-25=2160000 S4_2026-09-25=2160000 S5_2026-09-25=2160000
m_000002,2027,shadow,contactcars,market,UNCHANGED,S4_2026-09-25,1840000,OK,S5_2026-09-25,1840000,OK,,S0_2026-09-10=1840000 S1_2026-09-25=1840000 S2_2026-09-25=1840000 S3_2026-09-25=1840000 S4_2026-09-25=1840000 S5_2026-09-25=1840000
m_000002,2025,othertrims,contactcars,official,UNCHANGED_NON_NUMERIC,S4_2026-09-25,,NOT_PUBLISHED,S5_2026-09-25,,NOT_PUBLISHED,,S1_2026-09-25=None S2_2026-09-25=None S3_2026-09-25=None S4_2026-09-25=None S5_2026-09-25=None
m_000002,2026,blackdiamond,contactcars,official,UNCHANGED,S4_2026-09-25,2200000,OK,S5_2026-09-25,2200000,OK,,S0_2026-09-10=2200000 S1_2026-09-25=2200000 S2_2026-09-25=2200000 S3_2026-09-25=2200000 S4_2026-09-25=2200000 S5_2026-09-25=2200000
m_000002,2026,blaze,contactcars,official,UNCHANGED,S4_2026-09-25,1850000,OK,S5_2026-09-25,1850000,OK,,S0_2026-09-10=1850000 S1_2026-09-25=1850000 S2_2026-09-25=1850000 S3_2026-09-25=1850000 S4_2026-09-25=1850000 S5_2026-09-25=1850000
m_000002,2026,night,contactcars,official,UNCHANGED,S4_2026-09-25,2100000,OK,S5_2026-09-25,2100000,OK,,S0_2026-09-10=2100000 S1_2026-09-25=2100000 S2_2026-09-25=2100000 S3_2026-09-25=2100000 S4_2026-09-25=2100000 S5_2026-09-25=2100000
m_000002,2026,nlineawd,contactcars,official,UNCHANGED,S4_2026-09-25,2300000,OK,S5_2026-09-25,2300000,OK,,S0_2026-09-10=2300000 S1_2026-09-25=2300000 S2_2026-09-25=2300000 S3_2026-09-25=2300000 S4_2026-09-25=2300000 S5_2026-09-25=2300000
