model_id,model_year,trim_key,source,price_type,change,s0_value,s0_status,s1_value,s1_status,delta_egp
m_000007,2024,othertrims,contactcars,official,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000007,2024,tlplus,contactcars,official,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000007,2024,turbohl,contactcars,official,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000007,2024,turboxtl,contactcars,official,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000007,2025,highlineplus,contactcars,official,UNCHANGED,1949990,OK,1949990,OK,
m_000007,2025,tlplus,contactcars,official,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000007,2025,topline,contactcars,official,UNCHANGED,2049990,OK,2049990,OK,
m_000007,2025,toplineplus,contactcars,official,UNCHANGED,2199990,OK,2199990,OK,
m_000007,2026,highlineplus,contactcars,official,UNCHANGED,1850000,OK,1850000,OK,
m_000007,2026,topline,contactcars,official,UNCHANGED,1950000,OK,1950000,OK,
m_000007,2026,toplineplus,contactcars,official,UNCHANGED,2100000,OK,2100000,OK,
m_000007,2026,highlineplus,hatla2ee,market,UNCHANGED,1849990,OK,1849990,OK,
m_000007,2026,topline,hatla2ee,market,UNCHANGED,1949990,OK,1949990,OK,
m_000007,2026,toplineplus,hatla2ee,market,UNCHANGED,2099990,OK,2099990,OK,
m_000007,2026,highlineplus,hatla2ee,official,UNCHANGED,1849990,OK,1849990,OK,
m_000007,2026,topline,hatla2ee,official,UNCHANGED,1949990,OK,1949990,OK,
m_000007,2026,toplineplus,hatla2ee,official,UNCHANGED,2099990,OK,2099990,OK,
m_000008,2025,othertrims,contactcars,market,PRICE_STATUS_CHANGE,,NOT_PUBLISHED,1180000,OK,
m_000008,2026,shine,contactcars,market,UNCHANGED,1740000,OK,1740000,OK,
m_000008,2026,shineentry,contactcars,market,PRICE_STATUS_CHANGE,,NOT_PUBLISHED,1620000,OK,
m_000008,2025,othertrims,contactcars,official,PRICE_STATUS_CHANGE,1180000,OK,,NOT_PUBLISHED,
m_000008,2026,shine,contactcars,official,UNCHANGED,1730000,OK,1730000,OK,
m_000008,2026,shineentry,contactcars,official,UNCHANGED,1590000,OK,1590000,OK,
m_000008,2026,shine,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000008,2026,shineentry,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000008,2027,advanced,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000008,2027,ultimate,hatla2ee,market,UNCHANGED_NON_NUMERIC,,NOT_PUBLISHED,,NOT_PUBLISHED,
m_000008,2026,shine,hatla2ee,official,UNCHANGED,1850000,OK,1850000,OK,
m_000008,2026,shineentry,hatla2ee,official,UNCHANGED,1710000,OK,1710000,OK,
m_000008,2027,advanced,hatla2ee,official,UNCHANGED,1695000,OK,1695000,OK,
m_000008,2027,ultimate,hatla2ee,official,UNCHANGED,1935000,OK,1935000,OK,
m_000009,2027,luxury,contactcars,market,CHANGED,1780000,OK,1760000,OK,-20000
m_000009,2027,mattcolour,contactcars,market,UNCHANGED,1760000,OK,1760000,OK,
m_000009,2027,luxury,contactcars,official,UNCHANGED,1730000,OK,1730000,OK,
m_000009,2027,mattcolour,contactcars,official,UNCHANGED,1760000,OK,1760000,OK,
m_000010,2024,othertrims,contactcars,market,PRICE_STATUS_CHANGE,,NOT_PUBLISHED,1800000,OK,
m_000010,2024,othertrims,contactcars,official,PRICE_STATUS_CHANGE,1700000,OK,,NOT_PUBLISHED,
