row_fingerprint,master_line,source,brand_raw,model_raw,trim_raw,model_year_raw,brand_id,model_id,method,trim_key,is_summary_row
2a62cbce56eb,91,ContactCars,Changan,Eado Plus,Flagship,2026,changan,changan/eado-plus,exact_normalized,flagship,no
160c6c0b7d53,92,ContactCars,Changan,CS55-Plus,Elite (Local),2026,changan,changan/cs55-plus,exact_normalized,elitelocal,no
e1dadabc6262,93,ContactCars,Changan,CS55-Plus,Premium (Local),2026,changan,changan/cs55-plus,exact_normalized,premiumlocal,no
49ccbc7507cd,94,ContactCars,Changan,CS55-Plus,Flagship,2026,changan,changan/cs55-plus,exact_normalized,flagship,no
d8c871289fa3,95,ContactCars,Changan,CS55-Plus,Elite,2027,changan,changan/cs55-plus,exact_normalized,elite,no
fec8cae70b3a,96,ContactCars,Changan,CS55-Plus,Premium,2027,changan,changan/cs55-plus,exact_normalized,premium,no
e0b8d866ce97,97,ContactCars,Changan,UNI-V,Flagship,2026,changan,changan/uni-v,exact_normalized,flagship,no
98d206b4e62d,98,ContactCars,Changan,UNI-T,Premium,2026,changan,changan/uni-t,exact_normalized,premium,no
68163ac2ac9e,99,ContactCars,Changan,UNI-T,Flagship,2026,changan,changan/uni-t,exact_normalized,flagship,no
10829001a577,100,ContactCars,Changan,CS75 Plus,PREMIUM,2026,changan,changan/cs75-plus,exact_normalized,premium,no
6848bb39bde3,101,ContactCars,Changan,CS75 Plus,FLAGSHIP,2026,changan,changan/cs75-plus,exact_normalized,flagship,no
17f197d92083,102,ContactCars,Renault,Duster,Authentic,2026,renault,renault/duster,exact_normalized,authentic,no
acc3cd4124eb,103,ContactCars,Renault,Duster,Evolution,2026,renault,renault/duster,exact_normalized,evolution,no
19dc18efcfdf,104,ContactCars,Renault,Duster,Techno,2026,renault,renault/duster,exact_normalized,techno,no
e7a5f3a9af70,105,ContactCars,Renault,Taliant,Evolution,2026,renault,renault/taliant,exact_normalized,evolution,no
d5e3970d0f84,106,ContactCars,Renault,Taliant,Techno,2026,renault,renault/taliant,exact_normalized,techno,no
04d0a259e53c,107,ContactCars,Renault,Kardian,Evolution,2026,renault,renault/kardian,exact_normalized,evolution,no
e7614940d6f0,108,ContactCars,Renault,Kardian,Techno,2026,renault,renault/kardian,exact_normalized,techno,no
